Eline Skoglund,Nataliegata 43,9100
Karoline Hansen,Heggelia 86,5300
Jenny Haugen Sørlie,Leil. 789 Natalieveien 67,5830
Oda Eline Aasen,Oppgang B Oskarveien 71,3560
Kristine Kristensen III,Skoglunds Gate 8,1851
Selma Larsen,Hestemyrløkka 09,3616
Dr. Mats Moe,Øvre Furuåsen 4,6052
Dr. Johannes Jensen,Mias Gate 3,7631
Dr. Aurora Aasen,Oppgang B Tirils Vei 48,8672
Sara Bjerke II,Søndre Eikeringen 0,0882
Sofie Gundersen,Malmtunet 43,7897
Leah Stensrud Skuterud,Gamle Tingmyra 62,0690
Magnus Fossum IV,Fossumveien 1,8977
Prof. Ida Evensen,Oppgang B Natalies Vei 6,8530
Dr. Ole Pettersen,Filipsgate 41,6993
Daniel Wold IV,Holmsvei 52,0488
Marie Anna Mathisen,Oppgang B Sørlieveien 11,7455
Ole Andreas Strand,Klokkerekra 4,3037
Kristoffer Håkon Andresen,Malinsvei 62,1633
Prof. Ingrid Wold,Oppgang B Skoglundsvei 9,9392
Madeleine Hanna Johansen,Oppgang B Søndre Torghavna 4,4679
Aksel Smogeli Huseby,Oppgang A Nedre Bjørkegjerdet 9,3691
Theodor Sebastian Bakke,Kuhøgda 78,3268
Dr. Mari Arnesen,Hansengata 6,1404
Prof. Alexander Jørgensen,Kirketunet 93,5523
Even Erik Kristiansen,Akselsgate 57,7023
Emil Jakob Johnsen,Oppgang A Danielsgate 07,6020
Herman Jonas Bakke,Leil. 960 Heggebråten 30,5541
Marius Erik Torgersen,Solduggmoen 4,8092
Camilla Røed I,Miagata 4,7449
Nikolai William Nordskaug,Oppgang A Bjerkesgate 1,7245
Isak Nilsen,Leil. 406 Vestre Kumyra 47,6600
Kristine Frida Lie,Leil. 177 Prestebakken 17,3507
Prof. Frida Tangen,Oppgang A Vasslia 51,2621
Benjamin William Hansen,Vedviksvei 97,4323
Markus Huseby II,Leil. 996 Sofiegata 69,5053
Kasper Karlsen,Søndre Korssvingen 65,0488
Maria Larsen,Oppgang A Søndre Presteholtet 09,2690
Vilde Emma Kvarme,Furualléen 02,7474
Marte Østli Hansen,Leil. 255 Emilies Gate 2,6789
Dr. Amalie Aasen,Vassgata 2,5440
Frida Arnesen,Andreass Gate 2,2223
Daniel Emil Thoresen,Bjørkeløkka 2,9379
Hanna Berge,Oppgang B Berntsenveien 62,7332
Prof. Aksel Nygård,Gamle Granbråten 0,8252
Natalie Danielsen,Magnusveien 4,6941
Dr. Johannes Larsen,Oppgang B Vestre Granvollen 57,0153
Simen Eriksen Berntsen,Leil. 040 Johannessensgate 4,6420
Prof. Sara Kristensen,Oppgang B Filipsgate 95,6510
Dr. Eirik Røed,Oppgang B Øvre Kirkekroken 77,4339
Oskar Sander Finstad,Litjskogen 3,9455
Mathias Johansen Ødegård,Østre Solduggstranda 32,6220
Malin Torp,Klevens Vei 13,0188
Oda Jacobsen III,Kroghsgate 80,9765
Dr. Jonathan Edvardsen,Nedre Klokkerengen 7,1804
Elias Thoresen IV,Leil. 294 Nedre Eikevollen 2,6006
Benjamin Haugen II,Oppgang A Edvardsensvei 4,3733
Celine Amalie Holm,Oppgang A Idas Gate 77,2314
Henrik Jonas Ryan,Leil. 353 Bergstykket 03,4385
Prof. Nikolai Smedsrud,Wolds Vei 22,8536
Prof. Mathilde Bjørnstad,Maries Vei 2,9049
Mina Jørgensen Olsen,Oppgang A Damekra 86,3107
Prof. Emilie Jensen,Leil. 974 Klokkerflata 70,6255
Nora Kvarme Moe,Oppgang A Østre Prestekollen 6,0159
Prof. Karoline Andreassen,Smedsrudsgate 57,7435
Oliver Edvardsen I,Noahs Gate 47,6821
Magnus Halvorsen,Oppgang B Henriksens Gate 80,5631
Dr. Hedda Halvorsen,Konvallfaret 06,6770
Lars Johannes Nordby,Lillemyra 1,2421
Mari Kristensen,Jørgengata 1,7340
