"Eline Skoglund","Nataliegata 43, Smeby, SC 3229","9100"
"Karoline Hansen","Heggelia 86, Nærøy, WI 0671","5300"
"Jenny Haugen Sørlie","Leil. 789 Natalieveien 67, Stormark, WA 1212","5830"
"Oda Eline Aasen","Oppgang B Oskarveien 71, Nærhamn, DE 0794","3560"
"Kristine Kristensen III","Skoglunds Gate 8, Tandås, ND 3187","1851"
"Selma Larsen","Hestemyrløkka 09, Innbø, UT 0787","3616"
"Dr. Mats Moe","Øvre Furuåsen 4, Gjesby, TN 8188","6052"
"Dr. Johannes Jensen","Mias Gate 3, Sandvåg, NE 1037","7631"
"Dr. Aurora Aasen","Oppgang B Tirils Vei 48, Tandsund, MI 0239","8672"
"Sara Bjerke II","Søndre Eikeringen 0, Smestrøm, NE 4599","0882"
"Sofie Gundersen","Malmtunet 43, Storodden, MA 6033","7897"
"Leah Stensrud Skuterud","Gamle Tingmyra 62, Malberg, IL 9440","0690"
"Magnus Fossum IV","Fossumveien 1, Fetfoss, AR 6907","8977"
"Prof. Ida Evensen","Oppgang B Natalies Vei 6, Høysjøen, MA 0660","8530"
"Dr. Ole Pettersen","Filipsgate 41, Lilleeid, HI 7133","6993"
"Daniel Wold IV","Holmsvei 52, Fagermark, RI 2384","0488"
"Marie Anna Mathisen","Oppgang B Sørlieveien 11, Storbø, MS 0723","7455"
"Ole Andreas Strand","Klokkerekra 4, Tandbø, MA 5083","3037"
"Kristoffer Håkon Andresen","Malinsvei 62, Malfjord, OK 0918","1633"
"Prof. Ingrid Wold","Oppgang B Skoglundsvei 9, Storsand, UT 2618","9392"
"Madeleine Hanna Johansen","Oppgang B Søndre Torghavna 4, Gjesodden, MN 9935","4679"
"Aksel Smogeli Huseby","Oppgang A Nedre Bjørkegjerdet 9, Fagersund, IA 8393","3691"
"Theodor Sebastian Bakke","Kuhøgda 78, Fagerstrøm, WA 0198","3268"
"Dr. Mari Arnesen","Hansengata 6, Storfoss, KY 8092","1404"
"Prof. Alexander Jørgensen","Kirketunet 93, Høybø, ID 8197","5523"
"Even Erik Kristiansen","Akselsgate 57, Storhelle, OK 1406","7023"
"Emil Jakob Johnsen","Oppgang A Danielsgate 07, Fetbø, VA 8816","6020"
"Herman Jonas Bakke","Leil. 960 Heggebråten 30, Storhamn, NM 9364","5541"
"Marius Erik Torgersen","Solduggmoen 4, Fagereid, MS 3945","8092"
"Camilla Røed I","Miagata 4, Høyfoss, WY 6587","7449"
"Nikolai William Nordskaug","Oppgang A Bjerkesgate 1, Fetvær, IA 1432","7245"
"Isak Nilsen","Leil. 406 Vestre Kumyra 47, Loberg, NC 2274","6600"
"Kristine Frida Lie","Leil. 177 Prestebakken 17, Tandfoss, WI 1857","3507"
"Prof. Frida Tangen","Oppgang A Vasslia 51, Fagerby, MI 0771","2621"
"Benjamin William Hansen","Vedviksvei 97, Fagermark, OR 5654","4323"
"Markus Huseby II","Leil. 996 Sofiegata 69, Inndal, WI 4549","5053"
"Kasper Karlsen","Søndre Korssvingen 65, Vestnes, PA 3228","0488"
"Maria Larsen","Oppgang A Søndre Presteholtet 09, Fetsand, AZ 9752","2690"
"Vilde Emma Kvarme","Furualléen 02, Maleid, VA 3618","7474"
"Marte Østli Hansen","Leil. 255 Emilies Gate 2, Tandfoss, CO 0033","6789"
